Kód;Územná jednotka;bez ukončeného vzdelania – osoby vo veku 0-14 rokov (abs.);základné vzdelanie (abs.);stredné odborné (učňovské) vzdelanie (bez maturity) (abs.);úplné stredné vzdelanie (s maturitou) (abs.);vyššie odborné vzdelanie (abs.);vysokoškolské vzdelanie (abs.);bez školského vzdelania – osoby vo veku 15 rokov a viac (abs.);nezistené (abs.)
SK0108508098;Miloslavov;803;473;309;884;157;1304;5;65
SK0108508110;Most pri Bratislave;759;406;493;939;213;961;2;140
SK0108508136;Nova Dedinka;511;488;469;714;162;719;1;86
SK0108508209;Rovinka;1002;593;480;1071;230;1610;8;142
SK0108508217;Senec;2836;2942;2770;4697;1152;4760;22;937
SK0108508276;Tomasov;334;443;518;675;148;519;5;73
SK0108508284;Turen;158;251;234;277;82;182;3;27
SK0108508292;Velky Biel;439;481;497;620;168;649;4;117
SK0108508331;Vlky;22;71;128;111;23;55;2;3
SK0108545333;Dunajska Luzna;1305;1029;747;1595;342;2310;9;285
SK0108555487;Igram;69;103;122;141;35;100;1;19
SK0108555495;Kaplna;149;132;177;223;51;183;3;26
SK0108555509;Zalesie (Okres Senec);374;297;211;484;138;672;3;49
SK0108582549;Novy Svet;9;15;21;21;2;18;0;6
SK0211501433;Dunajska Streda;2147;3773;4282;5594;1488;4263;50;1447
SK0211501441;Bac;42;70;120;152;48;101;0;13
SK0211501450;Baka;107;207;357;274;51;111;0;29
SK0211501468;Balon;44;135;229;187;27;80;0;18
SK0211501484;Blahova;28;60;114;80;20;43;0;15
SK0211501492;Blatna na Ostrove;104;190;266;229;52;117;2;21
SK0211501506;Bohelov;26;82;106;74;14;30;2;9
SK0211501514;Cakany;109;125;139;147;34;86;1;10
SK0211501522;Velky Meder;780;1692;2038;1802;481;1094;33;526
SK0211501531;Cilizska Radvan;100;271;345;214;52;137;3;53
SK0211501549;Dobrohost;54;104;107;120;28;78;3;23
SK0211501557;Dolny Bar;101;141;200;219;42;108;1;7
SK0211501573;Gabcikovo;507;982;1399;1163;272;586;12;311
SK0211501581;Holice;245;352;527;572;136;283;6;23
SK0211501590;Horna Poton;237;395;582;501;109;220;7;63
SK0211501603;Horny Bar;109;258;343;294;78;123;26;13
SK0211501611;Dolny Stal;175;398;498;462;94;216;4;61
SK0211501620;Hubice;67;118;155;164;40;78;0;4
SK0211501638;Hviezdoslavov;510;259;236;611;86;719;1;50
SK0211501654;Jahodna;146;318;456;370;101;171;51;41
SK0211501662;Janiky;110;178;223;240;54;89;3;18
SK0211501671;Jurova;38;73;159;131;16;48;3;12
SK0211501689;Klucovec;25;79;106;96;14;31;0;11
SK0211501697;Kostolne Kracany;134;252;412;339;86;173;3;20
SK0211501701;Kralovicove Kracany;115;195;304;250;66;128;0;35
SK0211501719;Kutniky;164;240;307;351;82;276;1;45
SK0211501727;Kvetoslavov;307;208;205;399;91;501;0;33
SK0211501735;Lehnice;367;696;672;652;150;338;14;76
SK0211501743;Luc na Ostrove;58;136;234;166;43;55;6;13
SK0211501760;Medvedov;30;105;139;137;35;48;26;12
SK0211501778;Mierovo;49;106;107;94;22;45;1;20
SK0211501786;Michal na Ostrove;97;266;250;222;43;110;3;40
SK0211501808;Novy Zivot;274;586;555;503;121;180;5;82
SK0211501816;Ohrady;144;250;368;321;84;173;2;17
SK0211501824;Okoc;332;911;1110;743;158;286;54;110
SK0211501832;Oldza;79;102;100;136;30;98;2;12
SK0211501859;Orechova Poton;153;304;466;465;93;185;0;39
SK0211501867;Padan;91;229;287;185;39;61;1;19
SK0211501875;Sap;41;111;154;101;35;53;3;10
SK0211501883;Patas;97;247;225;145;24;57;1;12
SK0211501891;Rohovce;120;226;276;242;73;139;5;27
SK0211501905;Samorin;1638;2253;2430;3133;937;2529;30;678
SK0211501913;Stvrtok na Ostrove;171;365;448;378;90;223;5;34
SK0211501921;Topolniky;302;704;911;635;149;333;3;79
SK0211501930;Narad;45;141;124;168;42;98;3;10
SK0211501956;Trnavka (Okres Dunajska Streda);70;77;120;123;37;81;1;13
SK0211501964;Trstena na Ostrove;43;122;167;130;45;59;1;11
SK0211501972;Velka Paka;118;174;249;237;58;128;7;13
SK0211501981;Velke Blahovo;169;417;397;299;76;132;1;98
SK0211501999;Vojka nad Dunajom;44;81;118;110;31;61;1;14
SK0211502006;Vrakun;287;537;828;622;126;302;4;88
SK0211502014;Vydrany;177;378;481;392;109;183;8;55
SK0211502022;Zlate Klasy;568;1572;628;405;112;119;28;179
SK0211503461;Bodiky;14;52;90;60;17;33;0;8
SK0211555517;Bellova Ves;41;53;66;100;16;45;0;5
SK0211555541;Dunajsky Klatov;86;162;220;174;36;77;2;10
SK0211555568;Horne Myto;75;240;329;155;37;50;1;18
SK0211555576;Trhova Hradska;195;514;620;479;106;245;7;45
SK0211555606;Macov;60;54;96;122;27;79;0;8
SK0211555649;Mad;41;117;185;117;36;55;2;18
SK0211555665;Male Dvorniky;127;214;262;326;68;171;1;13
SK0211555673;Velke Dvorniky;179;279;286;287;74;206;2;61
SK0211555720;Povoda;92;179;267;236;48;124;4;14
SK0211555746;Vieska (Okres Dunajska Streda);29;90;135;89;17;39;0;8
SK0211580554;Cenkovce;90;224;281;297;60;113;1;26
SK0211580597;Kyselica;18;25;53;48;14;43;0;5
SK0211582522;Potonske Luky;25;76;91;40;9;12;0;18
SK0212503665;Galanta;1391;2166;2907;3947;965;2772;21;883
SK0212503673;Abraham;137;165;256;296;84;159;3;20
SK0212503690;Cierna Voda;150;392;405;274;60;106;1;36
SK0212503703;Cierny Brod;159;403;445;373;79;144;3;39
SK0212503746;Dolne Saliby;173;449;550;455;106;214;9;64
SK0212503754;Dolny Chotar;40;104;125;55;16;11;1;9
SK0212503762;Gan;116;155;169;216;46;145;2;21
SK0212503771;Horne Saliby;287;574;892;767;187;362;15;114
SK0212503789;Hoste;32;70;113;130;23;52;2;15
SK0212503827;Janovce (Okres Galanta);60;85;109;107;37;79;3;12
SK0212503835;Jelka;437;1208;891;849;197;316;12;132
SK0212503843;Kajal;178;354;389;305;82;139;7;100
SK0212503860;Kosuty;216;390;430;417;88;185;5;62
SK0212503878;Kralov Brod;88;249;339;236;49;80;1;16
SK0212503924;Mostova;153;396;423;312;86;145;7;56
SK0212503959;Pata;386;560;805;842;148;402;3;107
SK0212503967;Puste Sady;65;116;168;140;40;57;5;14
SK0212503975;Puste Ulany;218;322;458;474;79;233;4;36
SK0212504009;Sered;1564;2452;3219;4171;873;2686;26;746
SK0212504017;Sladkovicovo;555;1185;1144;1341;311;656;19;204
SK0212504033;Salgocka;60;77;150;104;19;45;0;10
SK0212504041;Sintava;173;271;395;498;107;256;1;53
SK0212504050;Soporna;375;857;965;986;172;494;41;191
SK0212504076;Tomasikovo;223;531;430;285;62;110;7;88
SK0212504084;Topolnica;73;144;207;249;41;78;1;6
SK0212504106;Trstice;342;981;1228;754;172;301;6;80
SK0212504114;Vahovce;183;445;631;484;97;157;10;90
SK0212504122;Velka Maca;288;628;702;567;129;216;4;80
SK0212504131;Velke Ulany;493;929;1115;1221;270;502;7;128
SK0212504149;Velky Grob;193;245;274;354;51;254;3;51
SK0212504157;Vinohrady nad Vahom;184;286;445;393;98;195;3;53
SK0212504173;Vozokany (Okres Galanta);109;252;340;239;59;67;7;48
SK0212504181;Zemianske Sady;94;189;249;177;52;82;2;25
SK0212555754;Matuskovo;204;341;499;608;134;424;3;49
SK0212555789;Dolna Streda;189;272;342;431;74;286;2;58
SK0212582638;Mala Maca;62;104;169;150;28;60;1;8
SK0213506800;Bojnicky;144;285;411;322;79;151;4;25
SK0213506885;Cervenik;170;315;356;448;91;260;2;43
SK0213506958;Dolne Otrokovce;50;63;111;101;21;37;1;2
SK0213506966;Dolne Trhoviste;72;88;190;157;22;63;5;13
SK0213507024;Dvorniky;203;447;583;473;76;160;5;79
SK0213507032;Hlohovec;1952;3023;4358;5497;1107;3564;36;1019
SK0213507075;Horne Otrokovce;75;169;259;224;33;98;0;11
SK0213507130;Jalsove;45;104;155;115;25;35;2;6
SK0213507172;Klacany;135;201;275;271;48;154;1;42
SK0213507202;Koplotovce;122;102;172;197;35;138;6;13
SK0213507253;Leopoldov;418;504;789;1191;232;716;8;115
SK0213507288;Madunice;256;401;593;571;105;258;3;87
SK0213507326;Merasice;56;54;125;131;14;40;0;6
SK0213507415;Pastuchov;109;167;311;217;37;93;23;19
SK0213507521;Sasinkovo;75;156;254;197;33;94;1;32
SK0213507539;Siladice;64;113;179;184;34;86;1;12
SK0213507661;Trakovice;203;227;385;399;100;242;2;23
SK0213507792;Zlkovce;76;98;150;174;34;108;0;23
SK0213518620;Ratkovce;41;48;84;95;21;53;2;6
SK0213556521;Dolne Zelenice;75;90;139;169;36;72;1;10
SK0213556530;Horne Zelenice;70;155;182;167;29;70;0;19
SK0213556602;Horne Trhoviste;49;114;170;146;39;58;3;11
SK0213556611;Tekoldany;7;32;45;33;9;1;0;5
SK0213556645;Teplicky;30;46;77;92;12;29;0;13
SK0214506834;Borovce;113;168;267;301;52;142;0;37
SK0214506982;Dolny Lopasov;110;185;291;222;48;107;2;31
SK0214506991;Drahovce;260;444;652;679;146;288;12;111
SK0214507008;Dubovany;131;179;279;301;62;99;0;15
SK0214507121;Chtelnica;239;430;748;650;119;338;4;44
SK0214507199;Kocin-Lancar;60;75;160;134;29;41;1;19
SK0214507229;Krakovany;193;203;329;364;81;246;1;50
SK0214507342;Moravany nad Vahom;282;341;480;677;145;462;4;49
SK0214507369;Nizna (Okres Piestany);48;91;159;157;29;49;1;11
SK0214507385;Ostrov (Okres Piestany);122;187;310;310;86;169;2;18
SK0214507431;Pecenady;79;70;116;162;31;96;0;11
SK0214507440;Piestany;2442;3092;4108;7372;1901;7055;42;1669
SK0214507466;Prasnik;91;169;213;177;44;103;0;15
SK0214507482;Rakovice;76;86;167;163;36;69;2;21
SK0214507491;Ratnovce;135;216;219;260;47;150;2;50
SK0214507563;Sokolovce;138;279;375;331;70;130;1;44
SK0214507679;Trebatice;148;179;335;378;75;186;5;34
SK0214507709;Velke Kostolany;276;455;751;709;140;335;9;123
SK0214507725;Vesele;146;193;325;330;66;130;2;32
SK0214507750;Vrbove;565;784;1394;1600;313;896;12;175
SK0214556548;Sterusy;59;90;139;126;24;39;0;14
SK0214556572;Velke Orviste;91;174;251;265;51;156;6;66
SK0214556581;Hubina;48;70;145;144;23;74;0;15
SK0214558338;Ducove;57;61;95;124;30;76;1;13
SK0214558354;Basovce;38;53;97;77;26;41;0;8
SK0214558397;Sipkove;32;49;94;72;13;35;3;2
SK0214581399;Banka;188;275;395;606;131;467;3;93
SK0215504203;Senica;1969;3109;4160;5459;989;3424;37;728
SK0215504211;Bilkove Humence;11;49;52;48;10;23;0;1
SK0215504220;Borsky Svaty Jur;163;361;465;358;83;147;15;39
SK0215504238;Borsky Mikulas;444;795;1009;956;188;450;12;99
SK0215504297;Cerova;99;186;250;328;52;165;7;18
SK0215504319;Cary;158;378;308;263;35;85;12;30
SK0215504327;Castkov;58;108;150;126;32;75;1;13
SK0215504335;Dojc;154;208;335;325;73;150;3;21
SK0215504360;Hlboke;101;160;249;273;44;115;1;37
SK0215504386;Hradiste pod Vratnom;64;145;172;166;31;75;0;19
SK0215504416;Jablonica;232;433;583;611;77;267;8;47
SK0215504475;Kovalov;67;114;172;202;41;89;0;8
SK0215504491;Kuklov;98;278;225;121;17;35;0;15
SK0215504513;Kuty;422;797;1042;1001;211;404;5;154
SK0215504521;Laksarska Nova Ves;145;225;269;278;52;125;2;34
SK0215504572;Moravsky Svaty Jan;238;329;494;592;118;280;37;62
SK0215504602;Osuske;83;142;159;104;18;54;0;49
SK0215504645;Plavecky Peter;62;105;191;153;26;59;1;11
SK0215504653;Podbranc;65;86;193;135;41;81;0;20
SK0215504700;Prietrz;73;116;198;200;42;96;3;25
SK0215504726;Prievaly;119;180;285;255;45;81;2;18
SK0215504777;Rovensko;45;71;106;101;27;79;0;5
SK0215504823;Smolinske;94;175;272;214;41;84;3;20
SK0215504831;Smrdaky;44;85;153;174;37;89;0;2
SK0215504840;Sobotiste;142;239;393;361;79;191;1;18
SK0215504882;Sajdikove Humence;110;202;278;285;50;121;0;43
SK0215504891;Sastin-Straze;519;1165;1279;1124;236;435;11;210
SK0215504904;Stefanov;211;474;418;315;67;129;4;20
SK0215556114;Sekule;196;327;501;396;85;173;5;72
SK0215556122;Rohov;29;58;93;67;16;39;68;13
SK0215556131;Rybky;42;69;92;124;24;61;0;5
SK0216504271;Brodske;219;494;580;586;77;213;8;126
SK0216504343;Dubovce;60;133;175;133;28;66;1;18
SK0216504351;Gbely;481;863;1203;1173;247;652;18;284
SK0216504378;Holic;1149;2206;2506;2780;548;1449;43;533
SK0216504394;Chropov;47;74;110;91;20;38;0;2
SK0216504432;Katov;73;122;158;138;33;80;0;20
SK0216504459;Kopcany;319;585;647;569;104;233;7;91
SK0216504483;Kovalovec;14;28;39;41;10;11;0;1
SK0216504530;Letnicie;54;113;139;120;18;46;1;9
SK0216504548;Lopasov;42;62;98;75;14;41;0;0
SK0216504564;Mokry Haj;87;149;193;157;26;90;2;25
SK0216504599;Oreske (Okres Skalica);49;69;89;111;21;54;0;2
SK0216504611;Petrova Ves;107;231;299;267;54;108;1;15
SK0216504670;Popudinske Mocidlany;117;229;266;192;38;101;5;15
SK0216504718;Prietrzka;61;111;125;126;29;69;0;17
SK0216504734;Radimov;51;94;145;147;21;62;1;14
SK0216504742;Radosovce (Okres Skalica);177;304;460;452;97;231;7;50
SK0216504815;Skalica;1794;2412;3204;3767;801;2715;36;844
SK0216504912;Trnovec;28;52;85;61;22;32;0;5
SK0216504939;Unin;117;227;302;321;48;152;3;36
SK0216504963;Vradiste;108;139;217;215;49;95;2;27
SK0217506745;Trnava;7053;8066;10534;15573;3330;15622;85;3540
SK0217506788;Binovce;71;109;185;172;33;82;0;2
SK0217506796;Bohdanovce nad Trnavou;199;184;263;373;102;321;1;22
SK0217506818;Boleraz;272;351;551;607;147;388;4;50
SK0217506826;Borova;60;78;114;121;22;57;3;12
SK0217506842;Brestovany;344;377;577;678;144;377;3;122
SK0217506851;Bucany;253;384;615;627;146;317;1;43
SK0217506869;Bukova;57;111;189;146;47;61;1;30
SK0217506877;Cifer;522;721;950;1174;224;776;6;127
SK0217506893;Dechtice;177;258;472;479;88;282;0;34
SK0217506915;Dobra Voda;72;115;207;229;49;118;0;13
SK0217506923;Dolna Krupa;242;374;589;634;162;347;2;85
SK0217506931;Dolne Dubove;96;101;184;194;40;116;0;5
SK0217506940;Dolne Oresany;168;206;342;347;68;203;1;24
SK0217507041;Horna Krupa;53;69;142;125;21;64;1;13
SK0217507059;Horne Dubove;35;62;100;91;14;57;1;9
SK0217507067;Horne Oresany;222;277;461;548;98;294;3;31
SK0217507156;Jaslovske Bohunice;289;365;467;631;136;403;5;41
SK0217507164;Katlovce;113;160;276;329;71;173;2;9
SK0217507211;Kosolna;78;142;194;243;38;108;3;18
SK0217507296;Majcichov;288;285;539;549;120;360;4;18
SK0217507318;Malzenice;213;237;337;393;91;255;2;32
SK0217507351;Nahac;18;59;100;119;22;66;2;8
SK0217507512;Ruzindol;205;253;283;426;92;350;4;46
SK0217507555;Smolenice;372;399;667;908;198;599;7;98
SK0217507571;Sucha nad Parnou;240;342;454;546;117;447;3;53
SK0217507601;Spacince;428;391;581;826;159;672;3;50
SK0217507636;Surovce;234;380;617;535;107;322;5;77
SK0217507687;Trstin;152;215;370;394;69;173;3;29
SK0217507741;Voderady;226;235;355;434;88;249;3;19
SK0217507768;Zavar;224;314;543;580;103;371;27;221
SK0217507776;Zelenec;279;383;666;748;134;392;4;26
SK0217556483;Krizovany nad Dudvahom;159;249;415;459;99;322;3;39
SK0217556491;Opoj;194;215;283;285;46;212;1;33
SK0217556513;Vlckovce;171;155;317;329;74;240;6;46
SK0217556556;Pavlice;56;93;138;150;33;66;1;7
SK0217556564;Slovenska Nova Ves;77;80;132;145;30;75;2;7
SK0217556599;Dlha;53;67;112;117;22;62;1;7
SK0217556653;Radosovce (Okres Trnava);65;47;125;88;29;55;0;6
SK0217556661;Dolne Lovcice;93;103;202;211;39;137;4;11
SK0217556670;Selpice;94;130;181;256;55;166;3;32
SK0217556688;Losonec;65;87;179;135;29;82;0;11
SK0217580473;Biely Kostol;298;319;392;621;118;548;1;79
SK0217581020;Hrnciarovce nad Parnou;207;319;468;599;139;438;2;65
SK0217581488;Zvoncin;101;130;197;230;62;189;2;6
SK0221505056;Lutov;19;32;52;38;9;20;1;3
SK0221505072;Mala Hradna;58;52;142;97;19;39;0;4
SK0221505102;Male Hoste;33;62;144;105;15;35;0;15
SK0221505153;Miezgovce;30;43;79;66;23;36;5;1
SK0221505200;Nedasovce;50;74;138;108;15;37;0;13
SK0221505277;Omastina;2;1;21;7;2;2;2;3
SK0221505331;Pecenany;60;90;154;152;21;38;1;5
SK0221505358;Podluzany (Okres Banovce nad Bebravou);117;123;245;235;54;123;4;33
SK0221505382;Pravotice;50;45;102;88;13;40;0;5
SK0221505412;Prusy;71;81;172;169;35;82;1;6
SK0221505447;Ruskovce (Okres Banovce nad Bebravou);53;61;144;143;33;79;0;6
SK0221505455;Rybany;156;292;389;351;68;194;3;64
SK0221505471;Slatina nad Bebravou;39;72;130;129;19;53;0;10
SK0221505480;Slatinka nad Bebravou;19;22;61;53;7;30;1;5
SK0221505544;Sipkov;2;30;74;28;4;8;0;3
SK0221505552;Sisov;55;81;164;114;31;58;1;6
SK0221505579;Timoradza;45;82;151;134;20;70;0;2
SK0221505595;Trebichava;4;4;15;10;1;5;0;2
SK0221505625;Uhrovec;141;212;425;424;81;216;2;28
SK0221505633;Uhrovske Podhradie;4;4;15;4;6;5;0;1
SK0221505684;Velke Hoste;51;102;170;155;23;45;1;7
SK0221505692;Velke Chlievany;54;68;137;143;26;62;0;8
SK0221505765;Vysocany;9;19;43;19;6;12;0;1
SK0221505790;Zlatniky;67;107;224;150;27;84;2;20
SK0221505811;Zitna-Radisa;38;73;141;111;12;59;2;12
SK0221542652;Banovce nad Bebravou;1596;2430;4137;4762;929;2647;28;782
SK0221542741;Brezolupy;48;84;114;140;31;76;0;11
SK0221542776;Cimenna;8;24;28;28;2;10;0;1
SK0221542806;Cierna Lehota (Okres Banovce nad Bebravou);10;8;40;29;3;18;0;2
SK0221542822;Dezerice;145;159;226;241;67;159;1;21
SK0221542849;Dolne Nastice;71;90;144;152;37;73;1;20
SK0221542857;Dubnicka;9;22;38;27;9;18;0;1
SK0221542873;Dvorec;50;72;142;121;32;50;2;6
SK0221542890;Halacovce;46;66;104;88;18;39;0;8
SK0221542920;Horne Nastice;65;75;116;147;29;71;0;3
SK0221543080;Krasna Ves;52;80;134;133;21;69;0;7
SK0221543136;Ksinna;41;83;123;141;35;56;1;6
SK0221545651;Velke Drzkovce;88;94;198;185;30;76;0;9
SK0221556289;Otrhanky;42;54;113;115;15;49;0;6
SK0221556360;Libichava;14;22;41;38;9;14;2;2
SK0221556408;Chuda Lehota;30;33;73;54;13;20;1;2
SK0221556742;Pochabany;38;39;80;49;16;32;0;4
SK0221556793;Borcany;32;45;85;65;15;20;1;0
SK0222512885;Bolesov;163;219;421;390;88;225;4;25
SK0222512931;Cerveny Kamen;63;113;208;157;32;79;2;16
SK0222513016;Dubnica nad Vahom;2090;2652;4855;6392;1219;4134;28;1225
SK0222513024;Dulov;93;142;258;208;70;129;1;17
SK0222513091;Horna Poruba;120;151;350;275;64;102;3;19
SK0222513156;Ilava;626;720;1128;1543;340;981;8;226
SK0222513253;Koseca;332;352;603;752;150;469;2;74
SK0222513296;Ladce;283;343;574;717;133;369;2;93
SK0222513351;Kosecke Podhradie;119;161;303;260;64;99;8;33
SK0222513385;Mikusovce (Okres Ilava);124;175;339;242;57;84;3;26
SK0222513440;Nova Dubnica;1018;1223;2000;3074;636;2471;12;450
SK0222513598;Pruske;293;321;517;596;110;362;24;87
SK0222513725;Tuchyna;90;114;199;222;37;124;4;16
SK0222513865;Zliechov;79;132;144;121;25;57;1;21
SK0222557391;Borcice;133;88;135;163;50;123;0;20
SK0222557404;Kamenicany;64;83;120;164;33;92;0;7
SK0222557412;Sedmerovec;40;65;121;110;15;70;0;5
SK0222557421;Slavnica;63;149;213;186;47;118;43;6
SK0222557617;Krivoklat;27;43;86;35;15;19;1;12
SK0222557625;Vrsatske Podhradie;26;45;83;40;12;11;0;5
SK0222582301;Bohunice (Okres Ilava);112;105;196;206;41;103;1;9
SK0223504254;Brestovec (Okres Myjava);88;139;277;291;59;114;3;8
SK0223504262;Brezova pod Bradlom;428;686;1162;1473;283;659;5;152
SK0223504289;Bukovec (Okres Myjava);46;71;135;106;26;40;2;5
SK0223504408;Chvojnica (Okres Myjava);28;69;93;85;19;41;1;10
SK0223504424;Jablonka;32;73;146;138;21;49;1;10
SK0223504467;Kosariska;36;73;98;107;11;87;1;2
SK0223504581;Myjava;986;1463;2353;3151;652;1854;19;507
SK0223504661;Polianka;44;51;88;116;22;64;1;10
SK0223504688;Poriadie;56;87;195;193;45;98;1;7
SK0223504696;Priepasne;35;51;96;112;20;37;1;2
SK0223504793;Rudnik (Okres Myjava);98;133;203;223;42;105;4;9
SK0223504866;Stara Myjava;76;90;190;230;50;109;2;15
SK0223504971;Vrbovce;141;257;402;353;65;174;3;55
SK0223506079;Hrasne;35;66;168;140;20;43;1;8
SK0223506141;Kostolne;65;104;172;167;32;39;2;17
SK0223506150;Krajne;124;215;424;367;82;169;9;44
SK0223506419;Podkylava;19;36;55;66;9;37;1;7
SK0224505846;Beckov;146;198;342;410;78;225;1;36
SK0224505871;Bosaca;153;195;322;397;62;198;2;31
SK0224505889;Brunovce;66;86;132;173;35;82;1;18
SK0224505897;Bzince pod Javorinou;227;299;556;561;96;240;4;68
SK0224505901;Cachtice;428;674;816;977;171;507;4;126
SK0224505919;Castkovce;260;247;351;457;94;212;0;18
